21D,1.07388316151288E-05,0,0,-7.61730652041395E-06,-92.864175257732,45.007742992078,93119.9999999259,0,0,-131280.000000007,8647511.99999312,5908616.50000034
2R2,9.88533017001869E-06,0,0,-7.62427569380865E-06,-86.479300118624,39.7562175968283,101160.000000092,0,0,-131160.000000007,8748246.00000796,5214425.5000003
3T5,1.08932461873725E-05,0,0,-9.48047023132496E-06,-96.9570043572985,29.9196482745544,91799.9999999269,0,0,-105479.999999984,8900652.99999292,3155924.49999951
5B6,8.62663906142854E-06,0,0,-6.48004147226505E-06,-70.5463077984817,41.5945859253499,115919.999999908,0,0,-154320.000000009,8177727.99999349,6418876.50000037
9G6,1.04036620890636E-05,0,0,-7.6312576312572E-06,-78.2818248023304,43.1827571733822,96119.9999999235,0,0,-131040.000000007,7524448.99999401,5658668.50000032
ABE,1.86219739292354E-05,0,0,-1.41803743618823E-05,-75.4561266294227,40.6715943467574,53700.0000000031,0,0,-70520.000000004,4051994.00000023,2868160.8333335
ABI,2.66028198989078E-05,0,0,-2.25835591689237E-05,-99.7046022878425,32.4386065943993,37590.0000000021,0,0,-44280.0000000025,3747896.00000021,1436381.50000008
ABQ,-7.31697915154552E-09,-3.00300294238639E-05,-3.6416605237242E-05,6.03376118622943E-09,-106.54919900021,35.0627853255241,-5.51737982034683,-27459.9994457139,-33299.9993278322,6.69077744179871,1167002.85537148,-2926075.54278014
ABR,1.62284969481012E-05,-2.16942700646402E-09,-3.08409292058177E-09,-1.14155249080137E-05,-98.4316336385701,45.4615828007008,61619.998887273,-11.7103760713176,-16.6476621851253,-87599.9984181291,6066113.98435402,3981281.90997981
ABY,1.24937531234482E-05,0,0,-1.06906136412247E-05,-84.2034857571214,31.54791533034,80039.9999999363,0,0,-93539.9999999854,6739646.99999464,2950991.99999954
ACK,2.02265372168273E-05,0,0,-1.52625152625144E-05,-70.0762338187702,41.2718635531136,49440.0000000028,0,0,-65520.0000000037,3464569.0000002,2704132.50000015
ACT,1.91350805585547E-05,1.90457557454432E-08,2.24788024182728E-08,-1.62126995783085E-05,-97.2437706312027,31.6317534229758,52259.963940087,61.3920281234502,72.458099782901,-61679.9574401945,5079663.96983891,1957015.19718929
ACY,0,-1.51515151515143E-05,-1.9538882375927E-05,0,-74.5526279796796,39.4685606060606,0,-51180.0000000029,-66000.0000000038,0,2604925.00000015,-3815603.50000022
ADM,2.03004466098243E-05,0,0,-1.68236877523591E-05,-97.0317397482745,34.3248177433827,49260.0000000028,0,0,-59439.9999999865,4779783.50000027,2040267.1666662
ADQ,3.14168995365115E-05,7.44377871435144E-09,1.31616671707212E-08,-1.77682997911569E-05,-152.525542518452,57.7700277507136,31829.9972067765,13.3347286161611,23.5777105409421,-56279.9950612287,4853525.50733214,3253330.76321372
ADS,1.27032520325304E-05,0,0,-1.06837606837601E-05,-96.8448932926829,32.9817254273504,78719.9999999374,0,0,-93600.0000000053,7623629.99999393,3087089.50000018
ADW,2.61233005579865E-05,6.752011730671E-09,8.63580183735092E-09,-2.04248354852798E-05,-76.8906977112242,38.834788262274,38279.9979083093,12.6545447630775,16.1851230825636,-48959.997324755,2942747.20172619,1902324.14620441
AEG,2.3310023310022E-05,0,0,-1.91350937619583E-05,-106.815314685315,35.1698143895905,42900.0000000024,0,0,-52260.000000003,4582377.00000026,1837974.5000001
AEX,2.67094017094002E-05,0,0,-2.29095074455911E-05,-92.5701121794872,31.3557388316151,37440.0000000021,0,0,-43649.9999999978,3465825.0000002,1368677.99999993
AFW,2.26449267703726E-05,4.96521601013925E-09,5.88944779463528E-09,-1.90912555589854E-05,-97.3356730484432,33.014018519954,44159.9985064986,11.4850451252272,13.6228864053306,-52379.9982284963,4297893.43022421,1730392.13618799
AGC,0,-9.11743253099875E-06,-1.19388729704011E-05,0,-79.9143803724928,40.3602935813275,0,-83759.9999999334,-109680.000000006,0,4426717.00000025,-6693628.49999467
AGS,1.91131498470937E-05,0,0,-1.60256410256401E-05,-81.977752293578,33.3908253205128,52320.000000003,0,0,-62400.0000000036,4289076.00000024,2083587.50000012
AHN,1.83150183150173E-05,0,0,-1.52765047357221E-05,-83.3434249084249,33.9675145126795,54600.0000000031,0,0,-65459.9999999758,4550551.00000026,2223513.49999918
AIA,2.67094017094002E-05,0,0,-1.99004975124409E-05,-102.829861111111,42.0752736318408,37440.0000000021,0,0,-50249.9999999921,3849950.00000022,2114282.49999967
AID,1.59948816378613E-05,0,0,-1.22639195486871E-05,-85.625527831094,40.1235651214128,62520.0000000569,0,0,-81540.0000000046,5353308.00000487,3271675.50000019
AIZ,1.45560407569133E-05,0,0,-1.15101289134432E-05,-92.5612445414847,38.1102152394107,68700.0000000039,0,0,-86880.0000000049,6358957.50000036,3311015.50000019
AKN,3.65096750638899E-05,0,0,-1.90041809198013E-05,-156.680759401241,58.6991163055872,27390.0000000016,0,0,-52620.000000003,4291486.00000024,3088747.50000018
AKR,1.51791135397684E-05,0,0,-1.14863312657931E-05,-81.4796751669703,41.0491385251551,65880.0000000038,0,0,-87060.0000000049,5367881.00000031,3573738.0000002
ALB,2.06782464846969E-05,0,0,-1.52346130408279E-05,-73.8156327543424,42.7678016453382,48360.0000000028,0,0,-65640.0000000037,3569724.0000002,2807278.50000016
ALN,2.35737859500222E-05,0,0,-1.84162062615091E-05,-90.063696369637,38.9117219152855,42420.0000000024,0,0,-54300.0000000031,3820502.00000022,2112906.50000012
ALO,2.32126276694509E-05,0,0,-1.7146776406042E-05,-92.4172237697308,42.578420781893,43080.0000000025,0,0,-58319.9999999784,3981334.00000023,2483173.49999908
