3T5,1.09075043630104E-05,0,0,-9.49126803341075E-06,-96.9570135253054,29.9196611617312,91679.999999927,0,0,-105359.999999984,8889018.99999293,3152335.49999951
9G6,1.0416666666675E-05,0,0,-7.6382523678578E-06,-78.2818333333333,43.1827642835319,95999.9999999236,0,0,-130920.000000007,7515055.99999402,5653487.50000032
ABE,1.86219739292354E-05,0,0,-1.41884222474453E-05,-75.4561266294227,40.6715971433977,53700.0000000031,0,0,-70480.000000004,4051994.00000023,2866534.16666683
ABI,2.66453503863561E-05,0,0,-2.25988700564959E-05,-99.7046362909672,32.4386101694915,37530.0000000021,0,0,-44250.0000000025,3741915.00000021,1435408.50000008
ABQ,0,-3.00300300300283E-05,-3.64431486880446E-05,0,-106.549192176871,35.0627927927928,0,-27440.0000000016,-33300.0000000019,0,1167591.00000007,-2923709.8333335
ABR,1.62284972411545E-05,0,0,-1.14311842706898E-05,-98.4316374553716,45.4615969364426,61620.0000000035,0,0,-87480.000000005,6065357.50000034,3976980.50000023
ABY,1.24937531234482E-05,0,0,-1.06974753958083E-05,-84.2034857571214,31.5479193410355,80039.9999999363,0,0,-93479.9999999854,6739646.99999464,2949099.49999954
ACK,1.83755965857633E-05,3.60824856545861E-09,4.77784622614751E-09,-1.38773239827538E-05,-70.0754744898122,41.271222455312,54419.99816046,14.1497655123401,18.73634882064,-72059.9975641814,3812733.92080877,2974995.74113277
ACT,1.91791240288971E-05,1.57711119595978E-08,1.86567354366704E-08,-1.62127030944665E-05,-97.2438090412617,31.6317560699646,52139.9753308355,50.7198203607349,59.9999716120086,-61679.9708171448,5068391.90002163,1955977.97981622
ACY,0,-1.51653017895047E-05,-1.95618153364621E-05,0,-74.5526115023474,39.4685774946921,0,-51120.0000000029,-65940.0000000037,0,2602558.00000015,-3811129.50000022
ADM,2.03004466098243E-05,0,0,-1.68350168350207E-05,-97.0317397482745,34.3248232323232,49260.0000000028,0,0,-59399.9999999865,4779783.50000027,2038894.49999954
ADQ,3.14465385211445E-05,6.89028200046359E-09,1.2181498555547E-08,-1.77872629841967E-05,-152.525549663895,57.7700495784103,31799.9976140715,12.3184185992917,21.7780343915965,-56219.9957819064,4849053.9972703,3249710.8171866
ADS,1.26839167935159E-05,0,0,-1.06906136412224E-05,-96.8448883815322,32.9817297412872,78839.9999999373,0,0,-93540.0000000053,7635250.99999392,3085111.00000018
ADW,2.60824204486384E-05,0,0,-2.03998368013131E-05,-76.8907146583203,38.8355467156263,38339.9999999695,0,0,-49019.9999999819,2947989.99999765,1903718.4999993
AEG,2.33426704014926E-05,0,0,-1.91570881226043E-05,-106.815336134454,35.169837164751,42840.0000000024,0,0,-52200.000000003,4575969.00000026,1835865.5000001
AEX,2.39808153477205E-05,0,0,-2.11505922165809E-05,-92.5648920863309,31.3537542301184,41700.0000000024,0,0,-47280.0000000027,3859956.00000022,1482405.50000008
AFW,2.1394950791612E-05,0,0,-1.8037518037517E-05,-97.3357937526744,33.0108495670996,46740.0000000027,0,0,-55440.0000000032,4549475.00000026,1830121.5000001
AGC,0,-9.14745700695155E-06,-1.19645848289058E-05,0,-79.9146566164154,40.3609129162093,0,-83580.0000000048,-109320.000000006,0,4412255.00000025,-6679267.00000038
AGS,1.7787263666284E-05,-4.03780403582762E-09,-4.81778539173455E-09,-1.49075725002756E-05,-81.9763547631844,33.388397712214,56219.9979377716,-15.2275184013466,-18.1690134180421,-67079.9975394116,4609317.1299783,2238445.33992958
AHN,1.83351668500173E-05,0,0,-1.52765047357221E-05,-83.3434360102677,33.9674992361748,54540.0000000031,0,0,-65459.9999999758,4545551.00000026,2223512.49999918
AIA,2.67522739432837E-05,0,0,-1.99123855037865E-05,-102.829882289995,42.0752787733971,37380.0000000021,0,0,-50219.9999999921,3843781.00000022,2113020.49999967
AID,1.60256410256265E-05,0,0,-1.22819945959217E-05,-85.6255448717949,40.1235875706215,62400.0000000568,0,0,-81420.0000000046,5343034.00000486,3266862.50000019
AIZ,1.45687645687637E-05,0,0,-1.15260488704466E-05,-92.5612470862471,38.1102293683725,68640.0000000039,0,0,-86760.0000000049,6353404.00000036,3306443.50000019
AKN,3.65096745653227E-05,3.14066776735826E-09,6.03365965382957E-09,-1.90041806602849E-05,-156.680766867493,58.6991137707472,27389.9996259704,4.52652447958527,8.69608317326677,-52619.9992814372,4290975.69352184,3089456.54376442
AKR,1.51929504709806E-05,0,0,-1.14942528735626E-05,-81.479679428745,41.0491436781609,65820.0000000037,0,0,-87000.0000000049,5362992.5000003,3571275.5000002
ALB,2.07296849087882E-05,0,0,-1.52532031726654E-05,-73.815671641791,42.7678131991051,48240.0000000027,0,0,-65560.0000000037,3560868.0000002,2803857.83333349
ALN,2.35737859500222E-05,0,0,-1.84162062615091E-05,-90.063696369637,38.9117219152855,42420.0000000024,0,0,-54300.0000000031,3820502.00000022,2112906.50000012
ALO,2.32450013757234E-05,-4.90412416842747E-09,-6.64142896449239E-09,-1.71644345894961E-05,-92.4172395721908,42.5784368438192,43019.9982440842,-12.2914280697383,-16.6457136062913,-58259.9976220194,3976498.23258426,2479483.68941761
ALS,1.92678227360297E-05,0,0,-1.53609831029243E-05,-105.881319845857,37.4534715821813,51900.000000003,0,0,-65099.9999999759,5495240.50000031,2438220.9999991
ALW,1.97238658777109E-05,0,0,-1.37287204832502E-05,-118.301193293886,46.1105230642504,50700.0000000029,0,0,-72840.0000000041,5997870.50000034,3358690.50000019
