CEA5,3000,75,ASP,07,25,52.6469,52.6469,-111.391,-111.378,,,90,270,,,1,,,,,,,
CEA6,3500,75,ASP,05,23,49.1603,49.1647,-113.247,-113.234,,,63,243,,,1,,,,,,,
CEB5,3492,75,ASP,04,22,56.0789,56.0839,-118.442,-118.427,,,58,238,,,1,,,,,,,
CEC4,4300,100,ASP,02,20,53.3144,53.3239,-117.759,-117.747,4025,4006,39,219,,300,1,,,,,,,
CED3,3000,75,ASP,14,32,51.3381,51.3306,-110.494,-110.489,,,160.6,340.6,,,1,,,,,,,
CED5,3000,75,ASP,05,23,49.8247,49.8283,-112.191,-112.179,,,64,244,,,1,,,,,,,
CED5,2000,75,ASP,13,31,49.8294,49.8247,-112.186,-112.182,,,149,329,,,0,,,,,,,
CEE5,3544,100,ASP,07,25,55.9617,55.9619,-113.828,-113.81,,,88.4,268.4,,,1,,,,,,,
CEF3,3000,75,ASP,05,23,49.8817,49.885,-111.339,-111.327,,,66,246,,,1,,,,,,,
CEF4,5000,100,ASP,12,30,51.2689,51.2588,-113.942,-113.927,3653,3650,137.5,317.5,,1000,1,,,,,,,
CEG3,3000,74,ASP,16,34,52.4925,52.4842,-113.712,-113.712,,,179.7,359.7,,,1,,,,,,,
CEG4,3500,75,ASP,16,34,51.5014,51.4919,-112.749,-112.749,2597,2597,180,360,,,1,,,,,,,
CEH3,3097,75,ASP,16,34,52.6558,52.6472,-113.606,-113.606,,,178.9,358.9,,,1,,,,,,,
CEH4,3015,150,ASP,10,28,50.8242,50.82,-113.83,-113.819,,,120,300,,,0,,,,,,,
CEH4,2931,150,ASP,16,34,50.8281,50.82,-113.819,-113.819,,,179,359,,,0,,,,,,,
CEH5,3540,75,ASP,12,30,56.55,56.5425,-115.28,-115.269,,,140,320,,,1,,,,,,,
CEH6,5001,75,ASP,12,30,52.3427,52.3334,-110.286,-110.269,2184,2197,133.8,313.8,874,384,1,,,,,,,
CEJ3,3000,75,ASP,07,25,52.3097,52.31,-112.761,-112.747,,,88,268,200,,1,,,,,,,
CEJ4,3100,100,ASP,03,21,50.0029,50.0086,-113.637,-113.627,,,48,228,,,1,,,,,,,
CEJ6,4492,75,ASP,07,25,53.8931,53.8928,-110.783,-110.762,,,91,271,,,1,,,,,,,
CEL4,1800,100,GRS,02,20,51.6292,51.6331,-111.901,-111.896,,,39,219,,,0,,,,,,,
CEL4,3535,75,ASP,12,30,51.6347,51.6281,-111.91,-111.899,,,134,314,,,1,,,,,,,
CEL4,1418,60,GRS,15,33,51.6322,51.6286,-111.9,-111.899,,,169,349,,,0,,,,,,,
CEL5,3300,75,ASP,07,25,55.0322,55.0325,-117.304,-117.288,,,88,268,,,1,,,,,,,
CEM4,3025,100,ASP,04,22,52.0792,52.0831,-114.036,-114.024,3015,2992,62,242,,,0,,,,,,,
CEM4,3025,100,ASP,10,28,52.0781,52.0742,-114.036,-114.024,3015,3007,118,298,,,0,,,,,,,
CEM4,3025,100,ASP,16,34,52.0828,52.0744,-114.023,-114.023,3005,2992,180,360,,,1,,,,,,,
CEM5,4500,100,ASP,10,28,54.6742,54.6672,-115.423,-115.406,3473,3473,124,304,,,1,,,,,,,
CEN3,3000,75,ASP,11,29,51.6992,51.6939,-113.214,-113.204,,,130,310,,,1,,,,,,,
CEN4,3000,75,ASP,06,24,50.5325,50.5342,-113.84,-113.827,,,78,258,,,1,,,,,,,
CEN5,3000,75,ASP,07,25,54.4775,54.4775,-110.276,-110.262,,,90,270,,,1,,,,,,,
CEP3,3500,100,ASP,07,25,54.1,54.1,-114.441,-114.425,,,90,270,,,1,,,,,,,
CEQ3,4500,100,ASP,13,31,53.0425,53.0314,-112.817,-112.808,2419,2421,155,335,200,,1,,,,,,,
CEQ5,5000,100,ASP,08,26,53.9186,53.9153,-118.886,-118.863,,,104,284,,,1,,,,,,,
CER2,3000,75,ASP,13,31,52.2203,52.2131,-111.937,-111.93,,,148,328,,,1,,,,,,,
CER3,5066,75,ASP,14,32,53.271,53.2579,-114.963,-114.955,,,161,341,761,344,1,,,,,,,
CES4,3000,75,ASP,10,28,54.1442,54.1403,-113.747,-113.735,,,118,298,200,200,1,,,,,,,
CET9,2500,60,GVL,10,28,61.5186,61.5147,-120.622,-120.611,,,124.9,304.9,,,1,,,,,,,
CEU2,3000,75,ASP,07,25,55.1842,55.1842,-119.455,-119.44,,,90,270,,,1,,,,,,,
CEV3,4000,100,ASP,13,31,53.5189,53.5097,-112.032,-112.022,,,147.7,327.7,,,1,,,,,,,
