0478,52.140471539,-122.158881426,heliport,Williams Lake / Highland Helicopters,,,,,,,,,,,,,,,,,
0479,52.1237896659,-122.107565403,heliport,Williams Lake / Wayne Peterson Heliport,,,,,,,,,,,,,,,,,
0480,52.1102479287,-122.134366035,heliport,Williams Lake / Pioneer Heliport,,,,,,,,,,,,,,,,,
0481,44.0638988987,-78.4995996952,small_airport,Elizabethville Airstrip,,,,,,,,,,,,,,,,,
0482,43.7185124132,-81.2382745743,small_airport,Brussels / Hemingway Field,,,,,,,,,,,,,,,,,
0492,44.3838238978,-78.1574678421,small_airport,Douro Airfield,,,,,,,,,,,,,,,,,
0493,43.9686657666,-79.4033002853,small_airport,Foxden Farms,,,,,,,,,,,,,,,,,
0495,44.3151588418,-76.9580966234,small_airport,Selby - Howard's Airstrip,,,,,,,,,,,,,,,,,
0497,50.3319444445,-113.357777778,small_airport,Vulcan / Kirkcaldy Airport,,,,,3418,,,,,,,,,,,,
0498,44.2530609746,-76.9941186905,small_airport,Napanee Airstrip,,,,,,,,,,,,,,,,,
0500,44.3582469361,-76.8574225903,heliport,D.C. Heliport,,,,,,,,,,,,,,,,,
0502,45.374473321,-77.7232289314,small_airport,Centreview Airstrip,,,,,,,,,,,,,,,,,
0503,51.5943218997,-113.480229378,small_airport,Linden,,,,,2930,,,,,,,,,,,,
0505,51.008489457,-72.9898381233,seaplane_base,Rivière Temiscamie Floatbase,,,,,,,,,,,,,,,,,
0506,44.3546031318,-76.8545150757,small_airport,D.C. Airstrip,,,,,,,,,,,,,,,,,
0507,44.1052991057,-77.4591493607,small_airport,Fern's Field,,,,,,,,,,,,,,,,,
0508,44.4393568122,-80.9398841858,small_airport,Farrow's Field,,,,,925,,,,,,,,,,,,
0510,44.5406300075,-78.8930958509,seaplane_base,Balsam Lake,,,,,850,,,,,,,,,,,,
0511,48.0778638994,-77.869656086,seaplane_base,Val D'or (St. Pierre) Water Aerodrome,,,,,1000,,,,,,,,,,,,
0512,48.0717419345,-77.873840332,seaplane_base,Val D'or / Huard Water Aerodrome,,,,,1000,,,,,,,,,,,,
0514,45.0397868014,-74.8594772816,small_airport,Long Sault Airstrip,,,,,,,,,,,,,,,,,
0515,49.1208333333,-81.0435,small_airport,Sky Wrench Field,,,,,,,,,,,,,,,,,
0516,42.9367183461,-81.4797377586,small_airport,Warren Field,,,,,,,,,,,,,,,,,
0517,48.78255,-123.28426,small_airport,Hastings Field,,,,,,,,,,,,,,,,,
0518,48.1830555556,-82.5492361111,small_airport,Ivanhoe Airstrip,,,,,1195,,,,,,,,,,,,
